SearchString;PLZ;Stadt;KundenNr;title;address;street;postalCode;city;openingHours;phone;phoneUnformatted;website;permanentlyClosed;temporarilyClosed;cid;placeId;location
Denner, Hauptstrasse 5, 5620 Musterdorf;5620;Musterdorf;900001;Denner Musterdorf;Hauptstrasse 5, 5620 Musterdorf;Hauptstrasse 5;5620;Musterdorf;Mo-Fr 08-19;044 111 22 33;+41441112233;https://beispiel-a.example;False;False;111000001;PLACE_A001;"{'lat': 47.3500, 'lng': 8.2400}"
Denner, Hauptstrasse 5, 5620 Musterdorf;5620;Musterdorf;900001;Denner Satellit;Dorfstrasse 10, 5620 Musterdorf;Dorfstrasse 10;5620;Musterdorf;Mo-Sa 07-20;044 111 22 44;+41441112244;;False;False;111000002;PLACE_A002;"{'lat': 47.3510, 'lng': 8.2410}"
Denner, Hauptstrasse 5, 5620 Musterdorf;5620;Musterdorf;900001;Spar Beispielstadt;Bahnhofstrasse 1, 8000 Beispielstadt;Bahnhofstrasse 1;8000;Beispielstadt;;044 111 22 55;+41441112255;;False;False;111000003;PLACE_A003;"{'lat': 47.3700, 'lng': 8.5400}"
Muster Handels AG, KST 715611 0, 5745 Kostendorf;5745;Kostendorf;900002;Muster Handels AG - Service;Werkstrasse 4, 5745 Kostendorf;Werkstrasse 4;5745;Kostendorf;Mo-Fr 07-17;062 222 33 44;+41622223344;https://beispiel-b.example;False;False;111000004;PLACE_B001;"{'lat': 47.3000, 'lng': 8.0000}"
Muster Handels AG, KST 715611 0, 5745 Kostendorf;5745;Kostendorf;900002;Muster Handels AG - Lager;Industriestrasse 9, 5745 Kostendorf;Industriestrasse 9;5745;Kostendorf;;062 222 33 55;+41622223355;;False;False;111000005;PLACE_B002;"{'lat': 47.3005, 'lng': 8.0005}"
Muster Handels AG, KST 715611 0, 5745 Kostendorf;5745;Kostendorf;900002;Muster Handels AG - Verwaltung;Bahnhofplatz 2, 5745 Kostendorf;Bahnhofplatz 2;5745;Kostendorf;;062 222 33 66;+41622223366;;False;False;111000006;PLACE_B003;"{'lat': 47.3008, 'lng': 8.0008}"
Beispiel Laden, Dorfstrasse 5, 6000 Testhausen;6000;Testhausen;900003;Beispiel Laden;Oberdorfstrasse 5, 6000 Testhausen;Oberdorfstrasse 5;6000;Testhausen;Mo-Fr 09-18;041 333 44 55;+41413334455;;False;False;111000007;PLACE_C001;"{'lat': 47.0500, 'lng': 8.3000}"
Beispiel Laden, Dorfstrasse 5, 6000 Testhausen;6000;Testhausen;900003;Beispiel Laden Filiale;Dorfstrasse 5, 6000 Testhausen;Dorfstrasse 5;6000;Testhausen;Mo-Sa 08-20;041 333 44 66;+41413334466;;False;False;111000008;PLACE_C002;"{'lat': 47.0510, 'lng': 8.3010}"
Berggasthaus Musterhöhe, Musterhöhe 12, 9100 Bergdorf;9100;Bergdorf;900004;Berggasthaus Musterhöche;Musterhöche 12, 9100 Bergdorf;Musterhöche 12;9100;Bergdorf;Mi-So 10-22;071 444 55 66;+41714445566;https://beispiel-c.example;False;False;111000009;PLACE_D001;"{'lat': 47.3300, 'lng': 9.2800}"
Volg Dorfladen, Seestrasse 8, 8700 Seedorf;8700;Seedorf;900005;Spar Seedorf;Seestrasse 8, 8700 Seedorf;Seestrasse 8;8700;Seedorf;Mo-Sa 07-19;044 555 66 77;+41445556677;;False;False;111000010;PLACE_E001;"{'lat': 47.2700, 'lng': 8.6500}"
Musterbeck GmbH, Lindenweg 3, 3000 Musterstadt;3000;Musterstadt;900006;Musterbeck;Lindenweg, 3000 Musterstadt;Lindenweg;3000;Musterstadt;Mo-Fr 06-18;031 666 77 88;+41316667788;;False;False;111000011;PLACE_F001;"{'lat': 46.9500, 'lng': 7.4400}"
Spar Supermarkt, Ringstrasse 20, 4000 Musterheim;4000;Musterheim;900007;Spar Musterheim Nord;Ringstrasse 20, 4000 Musterheim;Ringstrasse 20;4000;Musterheim;Mo-Sa 08-20;061 777 88 99;+41617778899;;False;False;111000012;PLACE_G001;"{'lat': 47.5600, 'lng': 7.5900}"
Spar Supermarkt, Ringstrasse 20, 4000 Musterheim;4000;Musterheim;900007;Spar Musterheim;Ringstrasse 20, 4000 Musterheim;Ringstrasse 20;4000;Musterheim;Mo-Sa 08-20;061 777 88 11;+41617778811;;False;False;111000013;PLACE_G002;"{'lat': 47.5601, 'lng': 7.5901}"
Restaurant Musterkrone, Kirchgasse 7, 7000 Talheim;7000;Talheim;900008;;;;;;;;;;;;;;
Muster Kiosk, Wohlerstrasse 23, 5610 Beispielwil;5610;Beispielwil;900009;Muster Kiosk;Wohlerstrasse 18, 5610 Beispielwil;Wohlerstrasse 18;5610;Beispielwil;Mo-Fr 06-19;056 888 99 00;+41568889900;;False;False;111000014;PLACE_H001;"{'lat': 47.3450, 'lng': 8.2800}"
Muster Kiosk, Wohlerstrasse 23, 5610 Beispielwil;5610;Beispielwil;900009;Muster Kiosk Nord;Wohlerstrasse 55, 5610 Beispielwil;Wohlerstrasse 55;5610;Beispielwil;;056 888 99 11;+41568889911;;False;False;111000015;PLACE_H002;"{'lat': 47.3460, 'lng': 8.2810}"
Muster Garage AG, St. Beispielstrasse 38, 5430 Musterwil;5430;Musterwil;900010;Muster Garage AG;St.Beispielstrasse 38, 5430 Musterwil;St.Beispielstrasse 38;5430;Musterwil;Mo-Fr 07-18;056 999 00 11;+41569990011;https://beispiel-d.example;False;False;111000016;PLACE_I001;"{'lat': 47.4600, 'lng': 8.3200}"
